file_name,class
2023_05_09_10_45_44.826583 n.png,0
2023_05_09_10_45_44.859031 n.png,0
2023_05_09_10_45_44.892631 n.png,0
2023_05_09_10_45_44.926240 n.png,0
2023_05_09_10_45_44.959112 n.png,0
2023_05_09_10_45_44.994277 n.png,0
2023_05_09_10_45_45.025823 n.png,0
2023_05_09_10_45_45.059011 n.png,0
2023_05_09_10_45_45.093589 n.png,0
2023_05_09_10_45_45.126123 n.png,0
2023_05_09_10_45_45.157952 n.png,0
2023_05_09_10_45_45.191673 n.png,0
2023_05_09_10_45_45.209697 n.png,0
2023_05_09_10_45_45.241751 n.png,0
2023_05_09_10_45_45.258271 n.png,0
2023_05_09_10_45_45.277264 n.png,0
2023_05_09_10_45_45.308685 n.png,0
2023_05_09_10_45_45.325714 n.png,0
2023_05_09_10_45_45.358949 n.png,0
2023_05_09_10_45_45.394508 n.png,0
2023_05_09_10_45_45.425029 n.png,0
2023_05_09_10_45_45.458570 n.png,0
2023_05_09_10_45_45.491966 n.png,0
2023_05_09_10_45_45.508491 n.png,0
2023_05_09_10_45_45.541593 n.png,0
2023_05_09_10_45_45.579156 n.png,0
2023_05_09_10_45_45.607942 n.png,0
2023_05_09_10_45_45.624985 n.png,0
2023_05_09_10_45_45.657913 n.png,0
2023_05_09_10_45_45.674960 n.png,0
2023_05_09_10_45_45.691480 n.png,0
2023_05_09_10_45_45.724674 n.png,0
2023_05_09_10_45_45.741688 n.png,0
2023_05_09_10_45_45.774346 n.png,0
2023_05_09_10_45_45.791396 n.png,0
2023_05_09_10_45_45.824523 space.png,1
2023_05_09_10_45_45.841646 space.png,1
2023_05_09_10_45_45.875128 space.png,1
2023_05_09_10_45_45.894674 space.png,1
2023_05_09_10_45_45.924563 space.png,1
2023_05_09_10_45_45.941576 space.png,1
2023_05_09_10_45_45.958099 space.png,1
2023_05_09_10_45_45.975121 space.png,1
2023_05_09_10_45_46.008679 n.png,0
2023_05_09_10_45_46.041542 n.png,0
2023_05_09_10_45_46.057745 n.png,0
2023_05_09_10_45_46.092297 n.png,0
2023_05_09_10_45_46.124428 n.png,0
2023_05_09_10_45_46.141444 n.png,0
2023_05_09_10_45_46.174590 n.png,0
2023_05_09_10_45_46.207954 n.png,0
2023_05_09_10_45_46.224984 n.png,0
2023_05_09_10_45_46.258750 n.png,0
2023_05_09_10_45_46.291619 n.png,0
2023_05_09_10_45_46.308643 n.png,0
2023_05_09_10_45_46.324668 n.png,0
2023_05_09_10_45_46.341683 n.png,0
2023_05_09_10_45_46.374433 n.png,0
2023_05_09_10_45_46.391966 n.png,0
2023_05_09_10_45_46.408481 n.png,0
2023_05_09_10_45_46.441569 n.png,0
2023_05_09_10_45_46.477054 n.png,0
2023_05_09_10_45_46.509044 n.png,0
2023_05_09_10_45_46.541789 n.png,0
2023_05_09_10_45_46.559304 n.png,0
2023_05_09_10_45_46.591389 n.png,0
2023_05_09_10_45_46.611315 space.png,1
2023_05_09_10_45_46.641779 space.png,1
2023_05_09_10_45_46.658297 space.png,1
2023_05_09_10_45_46.691413 space.png,1
2023_05_09_10_45_46.707930 space.png,1
2023_05_09_10_45_46.743086 space.png,1
2023_05_09_10_45_46.777119 space.png,1
2023_05_09_10_45_46.808108 n.png,0
2023_05_09_10_45_46.825129 n.png,0
2023_05_09_10_45_46.842144 n.png,0
2023_05_09_10_45_46.874972 n.png,0
2023_05_09_10_45_46.891493 n.png,0
2023_05_09_10_45_46.907682 n.png,0
2023_05_09_10_45_46.924704 n.png,0
2023_05_09_10_45_46.941721 n.png,0
2023_05_09_10_45_46.975102 n.png,0
2023_05_09_10_45_46.993634 n.png,0
2023_05_09_10_45_47.024419 n.png,0
2023_05_09_10_45_47.057995 n.png,0
2023_05_09_10_45_47.079019 n.png,0
2023_05_09_10_45_47.108437 n.png,0
2023_05_09_10_45_47.124973 n.png,0
2023_05_09_10_45_47.141990 n.png,0
2023_05_09_10_45_47.158509 n.png,0
2023_05_09_10_45_47.177524 n.png,0
2023_05_09_10_45_47.208777 n.png,0
2023_05_09_10_45_47.241342 n.png,0
2023_05_09_10_45_47.258841 n.png,0
2023_05_09_10_45_47.291946 n.png,0
2023_05_09_10_45_47.308465 n.png,0
2023_05_09_10_45_47.341518 n.png,0
2023_05_09_10_45_47.359043 n.png,0
2023_05_09_10_45_47.393564 space.png,1
2023_05_09_10_45_47.424307 space.png,1
2023_05_09_10_45_47.457944 space.png,1
2023_05_09_10_45_47.476966 space.png,1
2023_05_09_10_45_47.510003 space.png,1
